Date,AAPL,GOOGL,MSFT
2023-11-10,184.6561279296875,131.59568786621094,363.50146484375
2023-11-13,183.07110595703125,131.0994415283203,360.5613098144531
2023-11-14,185.6864013671875,132.61795043945312,364.0914001464844
2023-11-15,186.25103759765625,133.6104736328125,364.2392272949219
2023-11-16,187.93515014648438,135.9031219482422,370.643798828125
2023-11-17,187.91534423828125,134.2952880859375,364.4165954589844
2023-11-20,189.65887451171875,135.22824096679688,371.8951110839844
2023-11-21,188.8564453125,135.94285583496094,367.5893249511719
2023-11-22,189.52017211914062,137.4514617919922,372.2990417480469
2023-11-24,188.19273376464844,135.66494750976562,371.88525390625
2023-11-27,188.014404296875,135.3870391845703,373.0478820800781
2023-11-28,188.61868286132812,136.17112731933594,377.0778503417969
2023-11-29,187.5983428955078,133.97772216796875,373.2843933105469
2023-11-30,188.1728973388672,131.53614807128906,373.3434753417969
2023-12-01,189.45083618164062,130.87115478515625,369.0081787109375
2023-12-04,187.65774536132812,128.3006134033203,363.717041015625
2023-12-05,191.6104278564453,130.00770568847656,367.04736328125
2023-12-06,190.52076721191406,129.0449981689453,363.3819885253906
2023-12-07,192.45249938964844,135.9031219482422,365.50048828125
2023-12-08,193.87901306152344,133.97772216796875,368.7322692871094
2023-12-11,191.3726806640625,132.29043579101562,365.8453369140625
2023-12-12,192.88836669921875,131.52621459960938,368.88006591796875
2023-12-13,196.1079559326172,131.57583618164062,368.87017822265625
2023-12-14,196.25656127929688,130.9505615234375,360.5541687011719
2023-12-15,195.7216339111328,131.60565185546875,365.2837219238281
2023-12-18,194.0573272705078,134.78164672851562,367.1754455566406
2023-12-19,195.09751892089844,135.62521362304688,367.7765197753906
2023-12-20,193.0072479248047,137.30255126953125,365.1752624511719
2023-12-21,192.85865783691406,139.3669891357422,368.05242919921875
2023-12-22,191.7887725830078,140.428955078125,369.0771179199219
2023-12-26,191.24392700195312,140.45872497558594,369.15594482421875
2023-12-27,191.3429718017578,139.31736755371094,368.5746154785156
2023-12-28,191.76893615722656,139.17840576171875,369.766845703125
2023-12-29,190.72877502441406,138.64247131347656,370.5156555175781
2024-01-02,183.90321350097656,137.13385009765625,365.4216003417969
2024-01-03,182.5261993408203,137.87823486328125,365.1555480957031
2024-01-04,180.2081298828125,135.36721801757812,362.5346374511719
2024-01-05,179.48495483398438,134.71214294433594,362.34747314453125
2024-01-08,183.82398986816406,137.798828125,369.18548583984375
2024-01-09,183.40789794921875,139.8930206298828,370.2693786621094
2024-01-10,184.44808959960938,141.21304321289062,377.14678955078125
2024-01-11,183.8536834716797,141.01451110839844,378.9794921875
2024-01-12,184.18060302734375,141.5802459716797,382.7630615234375
2024-01-16,181.91201782226562,141.42144775390625,384.5366516113281
2024-01-17,180.97091674804688,140.40911865234375,383.7484130859375
2024-01-18,186.86524963378906,142.4040069580078,388.083740234375
2024-01-19,189.76785278320312,145.2823028564453,392.813232421875
2024-01-22,192.0760498046875,144.8952178955078,390.6849670410156
2024-01-23,193.3539581298828,145.93734741210938,393.039794921875
2024-01-24,192.68032836914062,147.5848846435547,396.6460876464844
2024-01-25,192.35342407226562,150.73110961914062,398.922119140625
2024-01-26,190.61981201171875,151.04872131347656,397.99591064453125
2024-01-29,189.9362335205078,152.35879516601562,403.70086669921875
2024-01-30,186.28077697753906,150.32420349121094,402.5874938964844
2024-01-31,182.67481994628906,139.04937744140625,391.73919677734375
2024-02-01,185.11181640625,140.10140991210938,397.84814453125
2024-02-02,184.11126708984375,141.3123016357422,405.17889404296875
2024-02-05,185.92413330078125,142.6025390625,399.690673828125
2024-02-06,187.52899169921875,143.01937866210938,399.5329895019531
2024-02-07,187.63795471191406,144.44859313964844,407.96728515625
2024-02-08,186.55816650390625,144.81581115722656,408.0263671875
